TRAPPIST-1 e,6.099615,0.62,0.918,4.4,12.1,2559,-3.281,0.08,0.12,1
Proxima Cen b,11.186,1.27,1.08,5.54,1.29,3050,-2.81,0.12,0.14,1
Kepler-1229 b,86.828989,2.54,1.4,6.13,236,3784,-1.177,0.54,0.51,1
GJ 667 C f,39.026,2.7,1.45,4.87,6.8,3350,-1.863,0.33,,1
Kepler-442 b,112.3053,2.36,1.34,5.39,342,4402,-0.932,0.61,0.6,1
GJ 667 C e,62.24,2.7,1.45,4.87,6.8,3350,-1.863,0.33,,1
TRAPPIST-1 f,9.20669,0.68,1.045,3.3,12.1,2559,-3.281,0.08,0.12,1
Kepler-62 f,267.291,35,1.41,,368,4925,-0.678,0.69,0.64,1
TRAPPIST-1 g,12.35294,1.34,1.127,5.2,12.1,2559,-3.281,0.08,0.12,1
Kepler-186 f,129.9441,1.71,1.17,5.87,172,3755,-1.26,0.54,0.52,1
K2-72 e,24.158868,2.21,1.29,5.66,66.56,3360.47,-1.9,0.27,0.33,1
GJ 3323 b,5.3636,2.02,1.23,5.96,5.32,3159,-2.569,0.16,0.12,1
TRAPPIST-1 d,4.04961,0.41,0.772,4.9,12.1,2559,-3.281,0.08,0.12,1
GJ 273 b,18.6498,2.89,1.51,4.61,3.8,3382,-2.056,0.29,0.29,1
Kepler-452 b,384.843,3.29,1.63,4.17,548,5757,0.02,1.04,1.11,1
Kepler-62 e,122.3874,36,1.61,,368,4925,-0.678,0.69,0.64,1
Kepler-1652 b,38.09722,3.19,1.6,9.9,252,3638,-1.638,0.4,0.38,1
Kepler-1544 b,168.811174,3.82,1.78,2.9,349,4886,-0.636,0.81,0.74,1
K2-3 d,44.55983,7.5,1.51,17.5,44.13,3896,-1.19,0.6,0.56,1
Kepler-296 e,34.14211,2.96,1.53,4.1,226,3740,-1.509,0.5,0.48,1
Wolf 1061 c,17.8719,3.41,1.66,4.1,4.31,3342,-1.991,0.29,0.31,1
Kepler-283 c,92.743711,3.97,1.82,3.62,453,4351,-0.98,0.63,0.57,1
GJ 667 C c,28.14,3.8,1.77,3.77,6.8,3350,-1.863,0.33,NaN,1
Kepler-1410 b,60.866168,3.82,1.78,4.63,367,4092,-1.158,0.63,0.6,1
Kepler-1638 b,259.33683,4.16,1.87,0.56,879,5710,0.391,0.97,0.95,1
Kepler-296 f,63.33627,3.89,1.8,3.2,226,3740,-1.509,0.5,0.48,1
Kepler-705 b,56.056054,5.1,2.11,5.55,251,3722,-1.289,0.53,0.51,1
Kepler-440 b,101.11141,4.12,1.86,3.52,261,4134,-1.102,0.57,0.56,1
Kepler-1653 b,140.2524,5.35,2.17,3.08,755,4807,-0.636,0.72,0.69,1
tau Cet e,162.87,3.93,1.81,3.64,3.6,5310,-0.305,0.78,0.83,1
GJ 832 c,35.68,5.4,2.18,2.86,4.97,3472,-1.585,0.45,0.45,1
Kepler-1606 b,196.435224,4.94,2.07,1.67,880,5422,-0.292,0.9,0.86,1
Kepler-1090 b,198.680179,5.69,2.25,2.74,702,5321,-0.194,0.86,0.82,1
Kepler-61 b,59.87756,5.27,2.15,2.91,314,4017,-0.923,0.64,0.62,1
Kepler-443 b,177.6693,6.04,2.33,2.62,779,4723,-0.664,0.74,0.71,1
Kepler-22 b,289.8623,36,2.38,14.7,190,5518,-0.102,0.97,0.98,1
K2-18 b,32.93963,7.96,2.38,3.3,34,3457,-1.66,0.36,0.41,1
K2-9 b,18.4498,5.69,2.25,2.74,83.16,3390,-1.921,0.3,0.31,1
Kepler-26 e,46.827915,6.39,2.41,2.51,339,3914,-1.033,0.54,0.51,1
Kepler-1552 b,184.771853,6.66,2.47,2.43,618,5202,-0.264,0.85,0.78,1
Kepler-1540 b,125.413118,6.76,2.49,2.41,262,4540,-0.835,0.74,0.69,1
LHS 1140 b,24.736959,6.98,1.727,7.5,12.47,3216,-2.356,0.18,0.21,1
Kepler-1632 b,448.303558,6.66,2.47,2.43,584,6137,0.373,1.12,1.19,1
HD 40307 g,197.8,7.1,2.56,2.33,12.94,4956,-0.639,0.77,0.71,1
GJ 163 c,25.63058,6.8,2.5,2.39,15.14,3500,-1.708,0.4,0.43,1
Kepler-298 d,77.473633,6.8,2.5,2.39,504,4465,-0.804,0.69,0.58,1
K2-288 B b,31.393463,4.27,1.9,3.42,65.72,3341,-1.93,0.33,0.32,1
GJ 3293 d,48.1345,7.6,2.67,2.19,20.2,3466,-1.658,0.42,0.4,1
Kepler-174 d,247.35373,5.43,2.19,2.84,371,4880,-0.611,0.71,0.62,1
